# time, flux, model, err
1.205441544880159199e-02 1.000047659184819970e+00 9.999992157409586246e-01 1.534523195430139775e-04
1.209641690365970135e-02 1.000040210696366838e+00 9.999992067264854567e-01 1.534523195430139775e-04
1.213841834396589547e-02 9.995923903050526471e-01 9.999991977120152864e-01 1.534523195430139775e-04
1.218041979882400483e-02 1.000376902414614078e+00 9.999991886975418964e-01 1.534523195430139775e-04
1.222242123913019896e-02 9.999114248031333307e-01 9.999991796830716151e-01 1.534523195430139775e-04
1.226442268671235070e-02 9.999801529799925426e-01 9.999991706685998905e-01 1.535517513288050867e-04
1.230642414157046005e-02 9.997620692494366690e-01 9.999991616541265005e-01 1.534523195430139775e-04
1.234842558187665418e-02 9.997742514936406311e-01 9.999991526396563302e-01 1.534635470286900636e-04
1.239042703673476353e-02 9.999726187091574348e-01 9.999991436251829402e-01 1.534523195430139775e-04
1.243242847704095766e-02 9.997039175735101812e-01 9.999991346107128809e-01 1.534523195430139775e-04
1.247442993189906701e-02 9.999089099617728404e-01 9.999991255962393799e-01 1.534523195430139775e-04
1.251643137220526114e-02 9.999545152788340552e-01 9.999991165817693206e-01 1.534523195430139775e-04
1.255843282706337050e-02 9.999517111241968959e-01 9.999991075672959306e-01 1.534523195430139775e-04
1.260043426736956462e-02 9.998662406930310942e-01 9.999990985528257603e-01 1.534523195430139775e-04
1.264243571495171636e-02 9.997898625748655732e-01 9.999990895383541467e-01 1.534674539772265382e-04
1.268443716253386810e-02 9.997789884552232831e-01 9.999990805238822000e-01 1.534523195430139775e-04
1.272643861011601985e-02 9.998396083810989765e-01 9.999990715094103644e-01 1.534523195430139775e-04
1.276844005769817159e-02 9.998160173191461553e-01 9.999990624949385287e-01 1.534865776329615505e-04
1.281044149800436571e-02 1.000228531450683578e+00 9.999990534804683584e-01 1.534523195430139775e-04
1.285244295286247507e-02 1.000006300340447796e+00 9.999990444659951905e-01 1.534523195430139775e-04
1.289444440044462681e-02 1.000101067668953903e+00 9.999990354515233548e-01 1.534523195430139775e-04
